country,location,latitude,longitude,project_type,sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p,seism_onset,seism_time_shift_onset,seism_events,seism_depth_min,seism_depth_max,seism_a_before,seism_b_before,seism_a_during,seism_b_during,seism_a_after,seism_b_after,moment_max,moment_max_type,,moment_max_depth_min,moment_max_depth_max,moment_distance,moment_date,reason,comment,data_sources,projectID
United States of America,"Desert Peak, Nevada",39.633,-118.796,Geothermal energy,EGS (injection),,Volcanics and metamorphics,,,,,0.04,0.1,0.07,1.00E-15,,1.00E-15,8.5,38,25,0.13,0.4,0.2,3.83,63.33,3.76,13.57,,,29.3,47.6,10,34.9,82.8,186.2,,,,,,,2000,,NF,0.0243,0,22.48,43.04,,,,,0.0148,0,13.71,26.25,N7E,N41E,,,,,179,207,NE-SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,1771,,1/1/2013,Water,30,1.01E-01,2.00E+04,,,,10.3,,,,300,,,,,,,,,1.7,ML,,,,,2/1/2013,,There is high uncertainty for the taken values for different parameters. ,"Davatzes and Hickman (2009), Hickman and Davatzes (2010), Lutz et al. (2010), Zemach et al. (2013), Baker et al. (2014), Breede et al. (2013), Benato et al. (2016), Dempsey et al. (2016)",61
United States of America,"Fenton Hill, New Mexico",35.881,-106.675,Geothermal energy,EGS (injection),,Granite,,,,,0.05,,0.05,1.00E-19,,1.00E-19,37.5,,37.5,0.25,,0.25,25,,15,,0.4,,,,,,,,,,,,,,,,NF,0.025,0,86.5,,0.0175,0,60.55,,0.015,0,51.9,,N14E,N30E,0.01,0,34.6,,240,,N30,,76,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460,,,12/1/1983,water,100,9.56E-02,2.16E+04,,,,48,,,,>11000,3245,3275,,,,,,,1.3,,,,3372,,1/1/1983,,,"Fehler (1989), Nicholson and Wesson (1992), Norbeck et al. (2016), Norbeck et al. (2018), Phillips et al. (1997), Phillips et al. (2002), Xie et al. (2015)",62
United States of America,Newberry,43.726,-121.316,Geothermal energy,EGS (injection),Intruded John Day,Volcanics,,,,,0.03,,0.03,5.00E-18,,5.00E-18,15,,15,0.28,,0.28,11.36,,5.86,,0.97,,26.3,45.1,15,27,57,122,,,2.2,,9.00E-07,,,,NF/SS,0.0241,0,73.89,,0.0235,0,72.05,,0.0149,0,45.68,,N2S,,0.0088,0,26.98,,315,,NW-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066,,,10/17/2012,Water,,2.40E-02,4.13E+04,,,,16.7,,10/29/2012,,"174, -0≤MW≤2.39,within 1 km",500,3500,,,,1.07,,,2.39,Mw,,,,,12/7/2012,,During phase 2 of the project (started from April 2012),"Cheng et al. (2019), Cladouhos et al. (2013), Cladouhos et al. (2016), Li et al. (2012), Sonnenthal et al. (2012)",63
United States of America,"Salton Sea, California",33.163,-115.617,Geothermal energy,EGS (circulation),,"Alter sandstone, siltstone and shale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,NF-SS,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,1/1/1982,,,3.81E+00,2.34E+09,,-4.00E+08,,,,,,,,,,,,,,,5.1,Mw,,,,,1/1/2005,,Volume assuming water density of 1000 kg m-3. Rate is for field scale.,"Hulen et al. (2002), Kaspereit et al. (2016), McGuire et al. (2015)",64
United States of America,The Geysers,38.779,-122.754,Geothermal energy,EGS (circulation),,Metamorphics and Igneous,,,,,0,,0,2.00E-15,5.00E-14,2.60E-14,24,51,37.5,0.25,,0.25,16,17,9.6,25.5,,,,,,,,,,,3.2,,1.00E-05,,,3300,NF-SS,0.0255,0,,76.5,0.0134,0,,40.2,0.0069,0,,20.58,N26E,,0.002,0,,5.88,240,400,NNW-SSE,,,,,,,,,,,,,,,,,,,5.00E-15,1.00E-13,,,,,,,,,,,,,,3000,,1/1/1960,,,2.61E+00,1.27E+09,,-1.50E+09,,0.1,,,,"140/month ML>1.2, 20 events>4 since 2003",0,5000,,,,1.69,,,5,Mw,,,,,12/14/2016,,Vapour dominated. Up to 2005 about 120 billion pounds had been injected. Mass to volume using water desnity of 1000 kg m-3. Rate is for field scale.,"Nicholson and Wesson (1992), Julian et al. (1996), Majer (2007), Majer and Peterson (2008), Boyle and Zoback (2014), Martínez‐Garzón et al. (2014), Rutqvist et al. (2015), Garcia et al. (2016), Buijze et al. (2019), Scibek (2020), http://www.conservation.ca.gov/dog/geothermal/manual/Pages/production.aspx",65
Canada,"116 km WNW of Fort St. John, British Columbia",57.013,-122.154,Hydraulic fracturing,Fracking (injection),Montney Siltstone,Shale,,,,2500,,,0.1,,,1.00E-18,,,47,,,0.26,,,,,,0.8,,,,,,,,,,,,,,3100,SS,0.0251,0,,47.69,0.033,0,,62.7,0.019,0,,36.1,N45E,,0.012,0,,22.8,,,N131E,,,37,,,,SS-RF,,,,,,,,,,,,,,,109,,36,,,,,,,,42,,1900,,8/11/2015,Water with viscosity of 0.00028 Pa.s,,2.00E-01,6.50E+04,,,,,,8/11/2015,0,191,500,2500,,,,0.78,,,4.6,Mw,,1300,4000,1500,8/17/2015,Direct pore pressure transmission to a basement fault through a high-permeability fluid conduit (k=1e-13 m2 is assumed),Earthquake ruptured within the basement 1-2 km below the shale layer. Aftershocks in the overlying sediments (around 2 km) by static stress transfer from the reactivated fault in the basement,"Atkinson et al. (2016), Davey (2012), Eaton et al. (2019), Fox and Watson (2019), Mahani et al. (2017), McLellan (2012), Peña Castro et al. (2020), Sone and Zoback (2013), Verdecchia et al. (2020), Wang et al (2020), Wang et al (2021)",66
Canada,16 km SW Fort St. John-Dawson Creek,56.1,-120.899,Hydraulic fracturing,Fracking (injection),Montney Siltstone,Shale,,,,2500,,,0.1,,,1.00E-18,,,47,,,0.26,,,,,,0.8,,,,,,,,,,,,,,3500,SS,0.0251,0,,62.75,0.033,0,,82.5,0.019,0,,47.5,N45E,,0.012,0,,30,,,NE,,,,,,,RF,,,,,,,,,,,,,,,109,,36,,,,,,,,42,,2500,,11/28/2018,Water with viscosity of 0.00028 Pa.s,,,1.40E+04,,,,,,11/28/2018,0,270,,,,,,,,,4.5,ML,,,4500,2100,11/30/2018,Direct pore pressure transmission to a basement fault through a high-permeability fluid conduit (k=1e-12 m2 is assumed),"Earthquake ruptured within the basement 1-2 km below the shale layer. Large aftershock of ML 4.2, 3.8 and 3.4. Aftershocks in the overlying sediments (around 2 km) by static stress transfer from the reactivated fault in the basement","https://www.cbc.ca/news/canada/british-columbia/earthquake-fort-st-john-fracking-1.4927898, McLellan (2012), Fox et al. (2019), Verdecchia et al. (2019), Peña Castro et al. (2020)",67
Canada,Altares (Montney Trend),56.236,-122.062,Hydraulic fracturing,Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.0256,0,,,0.0184,0,,,0.0133,0,,,,,,,23.81,23.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/5/2013,,,2.52E-01,,1.88E+03,,,57,,11/5/2013,,14,,,,,,,,,2.2,ML,,,,1000,11/5/2013,"4 events within 2 hours of HF, 3 events during HF and 7 events within 7.5 hours of HF",This event hasn't been mentioned by any other public sources.,"BC Oil and Gas Commission (2014), Maxwell et al. (2011), Vaisblat et al. (2019)",68
Canada,Beg-Town (Montney Trend),56.904,-122.03,Hydraulic fracturing,Fracking (injection),Montney Trend,"Shale, Siltstone",,,2615,2615,0.03,0.06,,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/18/2013,,,1.63E-01,,,,,60.1,,8/18/2013,,16,,,,,,,,,3.4,ML,,,,,8/21/2013,During and after (21h) hydraulic fracturing operations. ,This event hasn't been mentioned by any other public sources,"BC Oil and Gas Commission (2014), Maxwell et al. (2011), Vaisblat et al. (2019)",69
Canada,"Cardston, Alberta (Ninastoko field)",49.319,-113.308,Hydraulic fracturing,Fracking (injection),Exshaw play,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE-SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845,,,11/25/2011,,,,7.16E+03,,,,85,,12/1/2011,,>60,3500,5000,,,,,,,3,Mw,,,,,12/4/2011,Pore pressure diffusion into the cristalline basement by an intersecting fault zone,,"Galloway et al. (2018), Reiter et al. (2014), Schultz et al. (2015a)",70
Canada,Caribou (Montney Trend),57.298,-122.673,Hydraulic fracturing,Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.0256,0,,,0.0184,0,,,0.0133,0,,,,,,,23.81,23.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/15/2014,,20,,,,,,,,,3.2,ML,,,,1300,3/2/2014,Hydraulic fracturing operations and post injection seimsicity,This event hasn't been mentioned by any other public sources.,"BC Oil and Gas Commission (2014), Maxwell et al. (2011), Vaisblat et al. (2019)",71
Canada,Doe-Dawson (Montney Trend),55.903,-120.321,Hydraulic fracturing,Fracking (injection),Montney Trend,Shale,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.0256,0,,,0.0184,0,,,0.0133,0,,,,,,,23.81,23.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2013,,,1.75E-01,,,,,64,,10/18/2013,,16,,,,,,,,,2.8,ML,,,,3000,10/23/2013,All events occurred during or within 2 hours of hydraulic fracturing,This event hasn't been mentioned by any other public sources.,"BC Oil and Gas Commission (2014), Maxwell et al. (2011), Vaisblat et al. (2019)",72
Canada,Duvernay East Shale Basin 10 (Red Deer),52.218,-114.109,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2421,2921,0.05,0.06,0.06,1.61E-20,1.97E-20,1.79E-20,50,60,55,0.23,0.27,0.25,30.86,43.48,20.33,23.62,,,,,,,,,,,,,,,,,SS,0.0245,0,66.64,,0.0143,60,98.9,,0.0168,0,45.7,,,N47E,0.0248,-23.8,43.66,,,,N12E,,,60,,,,SS,,,,,0,2720,,,,,0.01,,1.00E-17,,,,,,,,10,,0.15,,,2720,,,,Water with viscosity of 0.0004 Pa.s,,2.45E-01,1.09E+04,,,,,,,,417,2500,3500,,,,,,1.15,4.18,ML,,2627,,150,3/4/2019,Reactivation of preexisting faults by pore pressure diffusion,Location corresponds to Mmax epicentre. Site number from reference.,"Hui et al. (2021), Shen et al. (2021), Wang et al. (2020)",73
Canada,"Fox Creek (SS1, SS4)",54.508,-117.318,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,11/1/2013,Water with viscosity of 0.0004 Pa.s,100,1.83E-01,4.50E+04,,,,65,,1/1/2013,,,,,,,,0.9,,,3.3,Mw,,,,1500,1/1/2013,,Hypocenters for these two events are nearby and have similar fault motions,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",74
Canada,Fox Creek (SS10),54.157,-116.886,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,60.38,86.15,0.0292,0,70.42,100.49,0.0321,-41.8,77.52,110.62,N43E,N45.5E,0.0291,-39.6,30.68,60.68,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,2415,3446,,5/10/2015,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,6/1/2015,,,3400,4500,,,,0.9,,,3.9,Mw,,3000,4000,2000,6/13/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",75
Canada,Fox Creek (SS11),54.384,-117.4,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,,,,,,,,,0.9,,,2.9,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",76
Canada,Fox Creek (SS12),54.462,-117.266,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,8/1/2015,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,8/1/2015,,,,,,,,0.9,,,3.2,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",77
Canada,Fox Creek (SS13),54.31,-117.62,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,8/1/2015,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,8/1/2015,,,,,,,,0.9,,,2.9,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",78
Canada,Fox Creek (SS14),54.311,-117.607,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,,,,,,,,,0.9,,,3.1,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",79
Canada,Fox Creek (SS15),54.34,-117.564,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,,,,,,,,,0.9,,,2.8,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",80
Canada,Fox Creek (SS16),54.326,-116.706,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,11/1/2015,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,11/1/2015,,,,,,,,0.9,,,3,Mw,,,,,1/1/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",81
Canada,Fox Creek (SS17),54.393,-117.26,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,N7E,,,90,,,,SS,,45,,5,,,,,,,,,1.00E-14,,,,,,,,,,,,,,3400,,1/1/2016,Water with viscosity of 0.0004 Pa.s,100,1.39E-01,3.12E+04,,2.90E+04,,70,,1/1/2016,,,3300,4300,,,,0.86,,,4.1,Mw,,,2900,,1/12/2016,Aseismic fault slip and fault reactivation in the overlying layers,Earthquake occured 8 days after the initiation of treatments,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",82
Canada,Fox Creek (SS2),54.476,-117.321,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,2/1/2014,Water with viscosity of 0.0004 Pa.s,100,1.83E-01,,,,,60,,,,,,,,,,0.9,,,3.18,Mw,,4000,6200,3000,2/9/2014,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",83
Canada,Fox Creek (SS3),54.389,-117.214,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,3/1/2014,Water with viscosity of 0.0004 Pa.s,100,1.83E-01,,,,,66,,,,,,,,,,0.9,,,3.2,Mw,,,,,1/1/2014,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",84
Canada,Fox Creek (SS5),54.537,-117.774,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,8/1/2014,Water with viscosity of 0.0004 Pa.s,100,1.57E-01,,,,,62.6,,,,,2300,4500,,,,0.9,,,3.2,Mw,,,,5000,1/1/2014,,Occured at long distances from HF operations,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",85
Canada,Fox Creek (SS6) Alberta (Waskahigan and McKinley fields) (Well Pad 1),54.438,-117.34,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,45,,5,,,,,,,,,1.00E-14,,,,,,,,,,,,,,3400,,12/17/2014,Water with viscosity of 0.0004 Pa.s,100,1.83E-01,5.96E+04,,,,75.3,,12/23/2014,,115,2000,5000,,,,0.84,,,3.9,Mw,,,3910,,1/23/2015,Pore pressure diffusion and stress perurbations reactivated a fault in the basement,"Occured 40 days after the fracturing operations, during the flow-back period","Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",86
Canada,Fox Creek (SS7) (Well Pad 3),54.354,-117.32,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,1/12/2015,Water with viscosity of 0.0004 Pa.s,100,1.83E-01,1.16E+04,,,,76,,1/12/2015,,104,3300,3700,,,,0.9,,,3.7,Mw,,,3440,,1/14/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",87
